epoch,train_loss,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,lr
1,0.08209061567684472,0.07002195527636877,0.7717395872735678,0.580837239600539,0.6856253659170426,0.5644086902805762,0.7881657064154667,0.001
2,0.0676595586854192,0.06575749666299871,0.7728323456478796,0.5730120637538488,0.6968273569613379,0.5680040387467866,0.7928219107683535,0.0009997532801828658
3,0.06160680178879043,0.05755433342069067,0.7826671710166856,0.5911218045435059,0.7218829273380931,0.5782594380233677,0.8033810936003866,0.0009990133642141358
4,0.05200306225722561,0.04282694960874255,0.8653805741184382,0.6631707982009454,0.7490350323067938,0.6638021356130773,0.8659231782433181,0.00099778098230154
5,0.040498946089520704,0.0382447582619485,0.8810574538729878,0.680442689162529,0.7946628738558562,0.6724994617930713,0.8833617889221543,0.000996057350657239
6,0.03690044290047088,0.03448777722935843,0.8859748665573909,0.6728181916387737,0.7984677936405644,0.6800129953275187,0.8911407093471517,0.0009938441702975688
7,0.035372637800254306,0.03297049389971841,0.8850081956878073,0.6688956599580601,0.815699033533972,0.689552046657381,0.8909079789784619,0.0009911436253643444
8,0.03695310990450569,0.03664021626595528,0.8696675492791998,0.6512674247795137,0.7861970449430292,0.6584664876628434,0.8783389858725515,0.0009879583809693736
9,0.03513142918472603,0.03354539225498835,0.9048879922666331,0.7698894909982106,0.8020302140333604,0.7833003052313594,0.9039381532949461,0.0009842915805643154
10,0.03341149240903865,0.032555942133229265,0.8905980750640945,0.6857013389782025,0.8079048241859745,0.7154363741524784,0.8932867813844164,0.0009801468428384714
11,0.033760311863114754,0.0323320440247014,0.9037952338923213,0.7304507086729265,0.8072855276307659,0.7549207230759937,0.9042449960939226,0.0009755282581475767
12,0.03240219487546844,0.03399449255397563,0.8930777959904174,0.7009333019929272,0.8031554906531392,0.7342936621524767,0.8953737277264333,0.0009704403844771127
13,0.03207637374353711,0.02993108152902575,0.8959778085991679,0.7110793414527474,0.8204037317155367,0.7383160838790496,0.8963089149373127,0.0009648882429441257
14,0.03177917357705842,0.02924527524299519,0.9113604841760181,0.7792793388868804,0.8189447893624356,0.7904474027388085,0.9102882982534037,0.0009588773128419905
15,0.030244237022294153,0.030245057006757104,0.899634346236288,0.7090929792462465,0.8202328545020912,0.7302107396717807,0.9000520748105906,0.0009524135262330098
16,0.03004214827675149,0.029155198514701858,0.9142184676165259,0.7978510707571101,0.8353413495106468,0.8091821365117597,0.9134815596558599,0.0009455032620941839
17,0.02899752731525129,0.028780306379000347,0.886647333249275,0.6718091717343764,0.8319581837546085,0.6982891315908593,0.8931055080712516,0.0009381533400219318
18,0.028524421417253084,0.026782990873901433,0.9214474845542807,0.7583641980124782,0.8524468704573229,0.7862055724352675,0.9223207490771119,0.0009303710135019719
19,0.027991331049374173,0.027003884986443544,0.9148489051401673,0.7193834612354535,0.8524137784773745,0.7473034906664351,0.9175474605026046,0.0009221639627510076
20,0.028741969102521508,0.028690950734721075,0.899802462909259,0.7143416992309327,0.8296456718203908,0.7482470234481351,0.9014643053175184,0.000913540287137281
21,0.02797767463513577,0.02746018963635609,0.9080822090530828,0.7315387623485885,0.8325911216099827,0.7625981510999605,0.9086958280177012,0.0009045084971874739
22,0.027367949211103026,0.025934284072249167,0.925776488883285,0.7544159953835828,0.8667862362415569,0.7834480566876549,0.9268342053042523,0.0008950775061878453
23,0.026811810347685067,0.02664389766712663,0.9005589879376287,0.6968118071789983,0.8366408485755501,0.7089136572640338,0.9036538305621862,0.0008852566213878948
24,0.02655115353226799,0.028696387966153442,0.9040053797335351,0.7029112301071542,0.8281911252620777,0.7272001385341382,0.9059358252191931,0.0008750555348152299
